ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
AMAT,2023-11-06,2023-11-03,2023-11-07,136.658,136.9024,0.378123,0.323459,0.054664,0.1789,12.203676,12.180947,535.9223,False,0.486,2.940422,6.056313
INTU,2023-11-06,2023-11-03,2023-11-07,489.8759,499.3784,0.279135,0.205002,0.074133,1.9398,23.997916,23.916439,293.5392,False,1.3887,11.437931,21.709981
DDOG,2023-11-06,2023-11-03,2023-11-07,82.04,98.99,1.77113,0.246641,1.524489,20.6606,16.430057,16.416412,1203.1182,True,197.4602,17.750217,3.635792
SNOW,2023-11-06,2023-11-03,2023-11-07,149.99,155.77,0.770719,0.31919,0.45153,3.8536,21.364361,21.339414,855.4131,True,6.5268,5.270353,6.647153
MDB,2023-11-06,2023-11-03,2023-11-07,343.11,355.01,0.745066,0.565314,0.179752,3.4683,48.183447,48.126381,843.3455,True,5.2194,10.969955,15.205711
KLAC,2023-11-06,2023-11-03,2023-11-07,488.4137,488.1106,0.416389,0.269407,0.146982,-0.0621,48.472382,48.391149,595.7085,False,0.486,10.509029,21.645179
AAPL,2023-11-06,2023-11-03,2023-11-07,174.443,176.9414,0.20152,0.139579,0.061941,1.4322,6.326628,6.297615,217.0593,False,0.5956,3.791371,7.730843
TXN,2023-11-06,2023-11-03,2023-11-07,139.847,136.6541,0.262571,0.186895,0.075676,-2.2832,5.83932,5.816061,250.0526,False,2.0607,3.463851,6.197644
NET,2023-11-06,2023-11-03,2023-11-07,64.42,64.03,0.517523,0.414147,0.103376,-0.6054,7.53666,7.525946,702.4187,False,0.486,1.386103,2.854921
PCAR,2023-11-06,2023-11-03,2023-11-07,77.972,77.3612,0.207487,0.157225,0.050262,-0.7834,3.440359,3.42739,264.2898,False,0.486,1.677697,3.45551
NXPI,2023-11-06,2023-11-03,2023-11-07,173.5208,170.3668,0.353489,0.242987,0.110502,-1.8177,11.671574,11.642714,403.4209,False,1.1761,3.975204,7.689975
