ticker,ann_date,EP,ep_merton,ep_bs
UBER,2025-05-12,0.073455,4.424187,3.669916
KLAC,2025-05-12,0.080866,62.239182,30.802147
AMAT,2025-05-12,0.207163,14.05191,6.826584
FTNT,2025-05-12,0.094252,3.713087,4.317392
DXCM,2025-05-12,0.064057,1.821815,3.752346
BIIB,2025-05-12,0.09476,5.454065,5.236976
PAYC,2025-08-12,0.119603,5.837674,9.704577
PYPL,2025-08-12,0.098072,1.505476,2.956996
NXPI,2025-08-12,0.117705,16.132036,8.96366
RBLX,2025-08-12,0.122257,2.813088,5.794045
AMD,2025-08-12,0.262764,6.995526,7.634986
NFLX,2025-08-12,0.069216,2.621396,5.399222
KLAC,2025-08-12,0.370946,27.626116,40.078419
BIIB,2025-08-12,0.102701,2.754132,5.672615
OKTA,2025-08-12,0.092862,1.904439,3.922525
PANW,2025-08-12,0.158386,12.363244,7.452842
LRCX,2025-08-12,0.237391,4.104173,4.498652
AMAT,2025-08-12,0.756812,5.179184,8.11172
FTNT,2025-08-12,0.155122,5.479298,3.304742
DXCM,2025-11-10,0.23725,1.378116,2.437452
QCOM,2025-11-10,0.097446,3.621575,7.459264
ABNB,2025-11-10,0.05777,2.600933,5.357076
AAPL,2025-11-10,0.080514,5.760281,11.864303
TSLA,2025-11-10,0.0913,10.672209,19.03517
MRNA,2025-11-10,0.162344,0.55028,1.087547
AMD,2025-11-10,0.306443,7.482301,10.349864
PYPL,2025-11-10,0.080471,1.417256,2.919086
COIN,2026-02-11,0.551331,9.158187,7.202006
ISRG,2026-02-11,0.12905,10.653973,21.943715
VRTX,2026-02-11,0.10475,9.97254,20.540187
AAPL,2026-02-11,0.275037,5.883258,12.117596
IDXX,2026-02-11,0.084767,13.911165,28.652471
FAST,2026-02-11,0.090447,1.014557,2.056885
ABNB,2026-02-11,0.078317,2.588884,5.332259
DXCM,2026-02-11,0.448776,1.466575,3.020668
AMAT,2026-02-11,0.158804,10.047974,14.547247
PAYC,2026-02-11,0.051653,19.317111,5.506932
PANW,2026-02-11,0.234253,3.561222,7.334957
PCAR,2026-02-11,0.068437,3.516671,5.599383
CDNS,2026-02-11,0.542199,6.43348,13.250875
FTNT,2026-02-11,0.1475,2.149668,3.790459
RBLX,2026-02-11,0.116945,3.371348,3.188187
MELI,2026-05-13,0.169705,37.303679,69.967281
LRCX,2026-05-13,0.274443,7.395099,12.818338
AMD,2026-05-13,0.24816,10.11627,19.867007
REGN,2026-05-13,0.569405,15.542151,32.011771
NVDA,2026-05-13,0.092045,8.258957,9.772985
COIN,2026-05-13,0.165088,6.059043,9.202046
AMAT,2026-05-13,0.193751,11.861672,19.085896
TSLA,2026-05-13,0.151263,12.453501,19.209338
DXCM,2026-05-13,0.256129,1.954384,2.70956
NFLX,2026-05-13,0.077246,1.88615,3.884855
BIIB,2026-05-13,0.174013,4.289561,8.835099
MRNA,2026-05-13,0.142848,3.884096,2.360783
INTC,2026-05-13,0.358459,5.554669,5.345111
KLAC,2026-05-13,0.153517,41.743873,80.171829
RBLX,2026-05-13,0.423925,0.893802,1.840941
ODFL,2026-05-13,0.072534,4.107058,8.459201
