S0,strike,T,type,option_price,iv_market,moneyness,expiry,r
735.5999755859375,685.0,0.1726027397260274,put,9.92,0.2570058900782071,0.9312126464582433,2026-07-31,0.05
735.5999755859375,686.0,0.1726027397260274,put,10.01,0.2552842991933197,0.9325720809786203,2026-07-31,0.05
735.5999755859375,687.0,0.1726027397260274,put,11.82,0.27237173342567905,0.9339315154989972,2026-07-31,0.05
735.5999755859375,688.0,0.1726027397260274,put,11.06,0.26132972003951593,0.9352909500193742,2026-07-31,0.05
735.5999755859375,689.0,0.1726027397260274,put,10.9,0.25678676861363514,0.9366503845397512,2026-07-31,0.05
735.5999755859375,690.0,0.1726027397260274,put,10.76,0.2524667094619495,0.9380098190601283,2026-07-31,0.05
735.5999755859375,691.0,0.1726027397260274,put,11.31,0.25555370106615305,0.9393692535805053,2026-07-31,0.05
735.5999755859375,692.0,0.1726027397260274,put,12.31,0.2632252226791469,0.9407286881008823,2026-07-31,0.05
735.5999755859375,693.0,0.1726027397260274,put,12.06,0.25773051936648633,0.9420881226212593,2026-07-31,0.05
735.5999755859375,694.0,0.1726027397260274,put,12.02,0.25442604977817873,0.9434475571416362,2026-07-31,0.05
735.5999755859375,695.0,0.1726027397260274,put,11.81,0.24936064525391294,0.9448069916620132,2026-07-31,0.05
735.5999755859375,696.0,0.1726027397260274,put,13.06,0.2592316995906983,0.9461664261823902,2026-07-31,0.05
735.5999755859375,697.0,0.1726027397260274,put,13.44,0.26009066095356376,0.9475258607027672,2026-07-31,0.05
735.5999755859375,698.0,0.1726027397260274,put,13.44,0.25710787587891254,0.9488852952231442,2026-07-31,0.05
735.5999755859375,699.0,0.1726027397260274,put,14.82,0.26770798912062094,0.9502447297435213,2026-07-31,0.05
735.5999755859375,700.0,0.1726027397260274,put,13.01,0.24685944657991424,0.9516041642638983,2026-07-31,0.05
735.5999755859375,701.0,0.1726027397260274,put,13.16,0.24535537767145152,0.9529635987842753,2026-07-31,0.05
735.5999755859375,702.0,0.1726027397260274,put,13.37,0.2444142363749889,0.9543230333046522,2026-07-31,0.05
735.5999755859375,703.0,0.1726027397260274,put,16.69,0.2732308300687199,0.9556824678250292,2026-07-31,0.05
735.5999755859375,704.0,0.1726027397260274,put,13.97,0.24416965610408722,0.9570419023454062,2026-07-31,0.05
735.5999755859375,705.0,0.1726027397260274,put,14.06,0.24196779215684525,0.9584013368657832,2026-07-31,0.05
735.5999755859375,706.0,0.1726027397260274,put,17.6,0.27216383282971474,0.9597607713861602,2026-07-31,0.05
735.5999755859375,707.0,0.1726027397260274,put,17.77,0.27050211427982396,0.9611202059065372,2026-07-31,0.05
735.5999755859375,708.0,0.1726027397260274,put,14.74,0.23910971558072683,0.9624796404269143,2026-07-31,0.05
735.5999755859375,709.0,0.1726027397260274,put,15.16,0.23989178814904927,0.9638390749472913,2026-07-31,0.05
735.5999755859375,710.0,0.1726027397260274,put,15.69,0.2416317772397813,0.9651985094676682,2026-07-31,0.05
735.5999755859375,711.0,0.1726027397260274,put,15.76,0.23907359888255525,0.9665579439880452,2026-07-31,0.05
735.5999755859375,712.0,0.1726027397260274,put,16.06,0.23860131979647614,0.9679173785084222,2026-07-31,0.05
735.5999755859375,713.0,0.1726027397260274,put,16.51,0.23944959846950942,0.9692768130287992,2026-07-31,0.05
735.5999755859375,714.0,0.1726027397260274,put,16.62,0.2371711305476842,0.9706362475491762,2026-07-31,0.05
735.5999755859375,715.0,0.1726027397260274,put,16.73,0.23487003594767708,0.9719956820695532,2026-07-31,0.05
735.5999755859375,716.0,0.1726027397260274,put,19.76,0.25849878077471394,0.9733551165899302,2026-07-31,0.05
