snapshot_date,S0,expiry,T,type,strike,moneyness,bid,ask,lastPrice,price,price_source,iv_market,r
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,564.0,0.795565155695052,0.0,0.0,0.96,0.96,lastPrice,0.8919548056637744,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,566.0,0.7983863087294316,0.0,0.0,146.13,146.13,lastPrice,1.0828850627913744,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,566.0,0.7983863087294316,0.0,0.0,0.1,0.1,lastPrice,0.6427555268297036,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,567.0,0.7997968852466214,0.0,0.0,148.0,148.0,lastPrice,1.286957742084227,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,567.0,0.7997968852466214,0.0,0.0,0.14,0.14,lastPrice,0.6634432947842946,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,568.0,0.8012074617638113,0.0,0.0,144.8,144.8,lastPrice,1.1251976037396794,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,569.0,0.8026180382810011,0.0,0.0,143.37,143.37,lastPrice,1.0830362805211442,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,570.0,0.8040286147981909,0.0,0.0,150.96,150.96,lastPrice,1.5816233493693157,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,571.0,0.8054391913153807,0.0,0.0,140.98,140.98,lastPrice,1.0354047601617422,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,572.0,0.8068497678325705,0.0,0.0,147.6,147.6,lastPrice,1.4987710566936274,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,573.0,0.8082603443497604,0.0,0.0,142.17,142.17,lastPrice,1.2512275195144795,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,574.0,0.8096709208669501,0.0,0.0,136.91,136.91,lastPrice,0.9068744895545228,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,put,574.0,0.8096709208669501,0.0,0.0,0.16,0.16,lastPrice,0.6411634822187171,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,575.0,0.8110814973841399,0.0,0.0,135.89,135.89,lastPrice,0.8982694023496062,0.043
2026-05-15,708.9299926757812,2026-05-22,0.019178082191780823,call,576.0,0.8124920739013297,0.0,0.0,134.88,134.88,lastPrice,0.8908611913659021,0.043
