lambda,mu_J,rmse
0.4366630811914216,-0.37411764705882355,0.061265766273115314
0.4366630811914216,-0.3488235294117647,0.05564163068172321
0.4366630811914216,-0.3235294117647059,0.050327430168526734
0.4366630811914216,-0.29823529411764704,0.045381780141058974
0.4366630811914216,-0.27294117647058824,0.040876173170647255
0.4366630811914216,-0.24764705882352941,0.036897148867465056
0.4366630811914216,-0.2223529411764706,0.033545814043834235
0.4366630811914216,-0.1970588235294118,0.030930833604720046
0.4366630811914216,-0.17176470588235293,0.029150597864368945
0.4366630811914216,-0.14647058823529413,0.0282652901376883
0.4366630811914216,-0.12117647058823527,0.028271270995043143
0.4366630811914216,-0.09588235294117647,0.029097089979727833
0.4366630811914216,-0.07058823529411762,0.030627405814441164
0.4366630811914216,-0.04529411764705882,0.032739155259054326
0.4366630811914216,-0.02,0.035329752692039966
0.5725237849691408,-0.45,0.11582747687046153
0.5725237849691408,-0.4247058823529412,0.107804972252838
0.5725237849691408,-0.39941176470588236,0.09999829309371326
0.5725237849691408,-0.37411764705882355,0.09244403110018576
0.5725237849691408,-0.3488235294117647,0.08518340821453557
0.5725237849691408,-0.3235294117647059,0.07826334128237394
0.5725237849691408,-0.29823529411764704,0.07173779637277078
0.5725237849691408,-0.27294117647058824,0.06566939044265355
0.5725237849691408,-0.24764705882352941,0.06013101372716328
0.5725237849691408,-0.2223529411764706,0.05520686853577828
0.5725237849691408,-0.1970588235294118,0.05099171091897812
0.5725237849691408,-0.17176470588235293,0.04758639595005734
0.5725237849691408,-0.14647058823529413,0.04508776849196175
0.5725237849691408,-0.12117647058823527,0.04357282442725193
0.5725237849691408,-0.09588235294117647,0.04308150401356062
0.5725237849691408,-0.07058823529411762,0.0436067836138022
0.5725237849691408,-0.04529411764705882,0.04509925137957308
0.5725237849691408,-0.02,0.04748492559531138
0.7506553644540866,-0.45,0.16069327991828877
0.7506553644540866,-0.4247058823529412,0.15062973870635094
0.7506553644540866,-0.39941176470588236,0.14081803888394143
0.7506553644540866,-0.37411764705882355,0.13130096553941023
0.7506553644540866,-0.3488235294117647,0.12212609086817769
0.7506553644540866,-0.3235294117647059,0.11334659911838114
0.7506553644540866,-0.29823529411764704,0.10502231023885829
0.7506553644540866,-0.27294117647058824,0.0972208895024896
0.7506553644540866,-0.24764705882352941,0.0900191216396914
0.7506553644540866,-0.2223529411764706,0.08350394247710945
0.7506553644540866,-0.1970588235294118,0.07777260325707304
0.7506553644540866,-0.17176470588235293,0.07293093574431574
0.7506553644540866,-0.14647058823529413,0.06908842154740284
0.7506553644540866,-0.12117647058823527,0.06634912831225724
0.7506553644540866,-0.09588235294117647,0.06479917629474256
0.7506553644540866,-0.07058823529411762,0.06449411059793636
0.7506553644540866,-0.04529411764705882,0.06545160341702567
0.7506553644540866,-0.02,0.06765369614077524
0.9842097236433061,-0.45,0.21514314091383116
0.9842097236433061,-0.4247058823529412,0.20274599471008328
0.9842097236433061,-0.39941176470588236,0.19063160606826302
0.9842097236433061,-0.37411764705882355,0.17885118550463308
0.9842097236433061,-0.3488235294117647,0.16746175612198666
0.9842097236433061,-0.3235294117647059,0.15652697497499043
0.9842097236433061,-0.29823529411764704,0.14611811878897296
0.9842097236433061,-0.27294117647058824,0.136315218070398
0.9842097236433061,-0.24764705882352941,0.1272082607282509
0.9842097236433061,-0.2223529411764706,0.11889823948912832
0.9842097236433061,-0.1970588235294118,0.11149760001104665
0.9842097236433061,-0.17176470588235293,0.10512933340517118
0.9842097236433061,-0.14647058823529413,0.09992368622040168
0.9842097236433061,-0.12117647058823527,0.09601149987058227
0.9842097236433061,-0.09588235294117647,0.09351396539581878
0.9842097236433061,-0.07058823529411762,0.09253029789931563
0.9842097236433061,-0.04529411764705882,0.09312687265933994
0.9842097236433061,-0.02,0.09533209673773439
1.290430770209037,-0.45,0.2799985174929104
1.290430770209037,-0.4247058823529412,0.26501684992929575
1.290430770209037,-0.39941176470588236,0.25034211240588317
1.290430770209037,-0.37411764705882355,0.23603402188632341
1.290430770209037,-0.3488235294117647,0.22215969273702696
1.290430770209037,-0.3235294117647059,0.20879472028509624
1.290430770209037,-0.29823529411764704,0.1960244360816893
1.290430770209037,-0.27294117647058824,0.1839453187483974
1.290430770209037,-0.24764705882352941,0.17266646996093454
1.290430770209037,-0.2223529411764706,0.1623109496070556
1.290430770209037,-0.1970588235294118,0.15301655295020566
1.290430770209037,-0.17176470588235293,0.14493532375685123
1.290430770209037,-0.14647058823529413,0.13823079561108279
1.290430770209037,-0.12117647058823527,0.1330718429503757
1.290430770209037,-0.09588235294117647,0.1296224842484187
1.290430770209037,-0.07058823529411762,0.12802831852008562
1.290430770209037,-0.04529411764705882,0.12840227912618593
1.290430770209037,-0.02,0.13081391948770216
1.6919275767141164,-0.45,0.3562330423890293
1.6919275767141164,-0.4247058823529412,0.33838821062518754
1.6919275767141164,-0.39941176470588236,0.32088264447010134
1.6919275767141164,-0.37411764705882355,0.3037833219923458
1.6919275767141164,-0.3488235294117647,0.28716594190914385
1.6919275767141164,-0.3235294117647059,0.27111649319731146
1.6919275767141164,-0.29823529411764704,0.2557331438666285
1.6919275767141164,-0.27294117647058824,0.2411284340547104
1.6919275767141164,-0.24764705882352941,0.22743167579757265
1.6919275767141164,-0.2223529411764706,0.21479130409542474
1.6919275767141164,-0.1970588235294118,0.20337667118866998
1.6919275767141164,-0.17176470588235293,0.19337841659739652
1.6919275767141164,-0.14647058823529413,0.18500613320533899
1.6919275767141164,-0.12117647058823527,0.17848178641575999
1.6919275767141164,-0.09588235294117647,0.17402763169799715
1.6919275767141164,-0.07058823529411762,0.17184869148182383
1.6919275767141164,-0.04529411764705882,0.1721122613531585
1.6919275767141164,-0.02,0.17492943063116428
2.2183436654893054,-0.45,0.4454780164540134
2.2183436654893054,-0.4247058823529412,0.4243564506019115
2.2183436654893054,-0.39941176470588236,0.40363057922501355
2.2183436654893054,-0.37411764705882355,0.38337629116027466
2.2183436654893054,-0.3488235294117647,0.36367876873101107
2.2183436654893054,-0.3235294117647059,0.3446343063392947
